Auther
Milton Friedman
Virginia Woolf
Richard J. Conviser
Steven K. Green
Kenneth Lupton
Michael Cox
Catherine Belsey
Brian Charlesworth
Christopher Butler
Michael Tanner
Graham Priest
Patsy Lightbown
William S. Fields
Peter Nabokov
Shaun Marmon
Naomi Pasachoff
Stuart Kauffman
William D. Nesse
Robert R. Bianchi
Steven A. Safren
William J. Koch
David M. Oshinsky
Patrick E. Jamieson
Emily Ford
William N. Eskridge
Lisa Seachrist Chiu
David Brion Davis
Kenneth J Vandevelde
Betty R. Ferrell and Nessa Coyle
A. L. Basham
Pashaura Singh
I. Ishaq
James Laidlaw
A. C. Atkinson
Alistair Macintosh Wilson
Frederick R. W. McCourt
G. A. Bird
John Bowker
Marina Warner
Robin Hanson
Peter Connolly
John J. Cartwright
Donald Davidson
Irad Malkin
Craig L. Symonds
Sarah Yizraeli
Charlotte DeCroes Jacobs
Ralph W. Mathisen
Ian Talbot
René Descartes
Santideva
Peter van Inwagen
Joan Gandy
Richard Whish
John Mandeville
Brian Cummings
Jonathan Faull
Richard Painter
Kenneth G C Reid
Robert B. Archibald
Matthew P. Fink
David  H. Barlow
John L. Esposito
Alvin Plantinga
John Searle
Ronald C. Hamdy
Roger W. Shuy
David K. Eiteman
Matthew R. Sanders
Marshall Kirk McKusick
George L. Grice
William C. Cockerham
Tom L. Humphries
Richard T DeGeorge
William Crain
Marilyn Stokstad
Robert H Gass
Patrick L. Frank
Darlene Clark Hine
Ross Horne
Arthur Ransome
Margaret Sheffield
Ronald Reng
Dipesh Chakrabarty
Isak Dinesen
Euripides
F. A. Hayek
N. Katherine Hayles
W. J. T. Mitchell
Walter J. Ong  S.J.
Cass R. Sunstein
Robert M. Wald
Erich H. Reck
Péter Cserne
Kate Bacon
Lee Hausner
Richard Plunz
Bernard P. Bellon
Dorothy N Gamble
Luis Martinez
Michael Sledge
Alfred Kadushin
Emanuel Levy
Alan Montefiore
Michael F. Armstrong
Avidan Milevsky
Michael Shenefelt
Christian de Perthuis
Des Lyver
John Hitchcock
Bruce Bartlett
Chris Meyer
Mike Senior
Keith Robinson
Adam Watkins
John Duffy
Donald R Hickey
Michael B. Barrett
Kevin W. Martin
Ronald D. Cohen
Ryan P. Jordan
Wan Fokkink
James H. Austin
Wendy Hui Kyong Chun
Mary Flanagan
Eva Jablonka
Murray Shanahan
Daniel C. Dennett
William Gropp
Etienne Gilson
Jeffrey P. Bishop
G E P Murray
Jenny Joseph
H. Lee Jones
John Jameson
Rosemary A. Joyce
Gordon Schendel
Luis E. Carranza
Gary G. Hamilton
Judith W. Leavitt
Virginia E. Schuett
Emilie Demant Hatt
Robert A. Dahl
George M. Marsden
Judith Resnik
Paul D. Stewart
James Boyle
Edith Grossman
Daniel J. Solove
Nabil Mouline
Thomas P. Campbell
Bill Hayton
Martin Kitchen
Cynthia M. Duncan
Leo Damrosch
Giles Waterfield
Navina Najat Haidar
C. Cercignani
Richard Pyle
Bill Graham
Fred Watson
Mark Blake
Peter May
Corey Taylor
Stanley Weintraub
Herbert Spencer Zim
Knopf Guides
Stieg Larsson
Chuck Palahniuk
Jeff Lindsay
Charles C. Mann
Douglas Starr
Christel Nani
Yasutaka Tsutsui
John Mitchinson
Donald Link
Tovah Martin
Stephen R. Covey
Michael Greenberg
Sylvan Learning
Dick Van Dyke
Zim and Fichter
Tony Fitzjohn
Martin Rossman M.D.
Glen Duncan
Stephen Stratton
Paulo Coelho
Walter Riso
Randall Kennedy
Stephen Sondheim
Lois Lowry
Phillip Yancey
Robert Wolgemuth
L. A. Marzulli
Henry Cloud
Gary D. Pratico
Miles V. Van Pelt
Frank Morison
Gary Wilkerson
Paula Rinehart
Lynn K. Wilder
Terri Blackstock
Tricia Goyer
Shawn Michaels
Doug Fields
Kirk Cousins
Timothy Keller
Arthur Conan Doyle
George Martin
Sarah Dening
Cynthia Orenberg
Ip Chun
Anatoli Boukreev
Brent Monahan
James Kirkwood
Jon Winokur
Lora Leigh
Selwyn Raab
Randy Shilts
Lawrence Anthony
Norb Vonnegut
Susan Sontag
Elias Khoury
Tom Wolfe
Alan Weisman
Hilary Mantel
Francis G. Couvares
Roger Priddy
Ann Charters
Jack Turner
Dan Simmons
The New York Times
Walker Lamond
Lois H. Gresh
Laurie G. Kirszner
Betty Mahmoody
Sue Grafton
Sherrilyn Kenyon
Janet Evanovich
Henry A. Kissinger
David Petechuk
Leslie Ellen Jones
Charles Wiggins
Jon Waltz
Thomas Hazen
Russell Weaver
Multiple Authors
Norm Abram
Rupert Isaacson
Matt Christopher
Dave Grossman
N. K. Jemisin
Quentin Tarantino
Masahiro Totsuka
Robert Ballard
Daniel Abraham
Emma Donoghue
James Patterson
Dean King
Emily Dickinson
Steve Fraser
kakifly
Gail Carriger
Evelyn Waugh
Lauren Beukes
Stephenie Meyer
Brian McClellan
Brad Stone
Annie Jacobsen
Robert Abele
NoViolet Bulawayo
Rick Mast
Lisi Harrison
Chris Holm
Alex Ferguson
Peter Guralnick
Takahiro
Pete Hamill
Edith Hamilton
D.J. Molles
Robert Coram
Tasha Tudor
William W. Warner
Frank Madden
Blade Kotelly
Nivaldo J. Tro
Scott Freeman
Ernest Adams
Lester Rowntree
Sylvan Barnet
David J. Griffiths
Dan Winters
Rebecca J. Donatelle
Richard D. Bucher
Michael Sullivan
Elaine Stillerman LMT
Joseph E. Muscolino DC
Geraldine Burghart MA  RT(R)(MR)(M)
Elizabeth S. Gilbert RNC  MS  FNPc
Sheila A. Sorrentino
Staci Nix MS  RD  CD
Mary Louise Turgeon EdD  MLS(ASCP)CM
Mosby
Andrea M. Battaglia LVT
William Herring MD  FACR
Dania Faisal Tamimi BDS  DMSc
Irene Fountas
Regie Routman
Joyce Gordon
Nigel Tranter
David Beckham
Turtle Bunbury
Alan Arnold
James N. Rowe
Larry Niven
Dayton O. Hyde
Malcolm X
Katherine Neville
Hyemeyohsts Storm
Anne McCaffrey
Dr. Dean Ornish
Earnie Larsen
George Seldes
Johnnie Cochran
Mario Puzo
Tess Gerritsen
Douglas Adams
John Irving
Robert E. Howard
Kenneth Bock
Harry Bernstein
Noire
Naomi Novik
Jerry Holkins
Peter V. Brett
Ben Aaronovitch
Sharon Kay Penman
John Grisham
Karen Robards
George R. R. Martin
Clay and Susan Griffith
Monica McCarty
Micol Negrin
Isabella Bradford
Kim John Payne
Cristina Henríquez
Jo Baker
Janet Dean
Lenora Worth
Katy Lee
RaeAnne Thayne
Margaret Moore
Richard Diana
Julie and Charles Mayfield
Jeff VanderMeer
Edmund de Waal
Mario Vargas Llosa
Francis Fukuyama
Anne Fadiman
Billy Steers
Jack Gantos
Bernard Malamud
Kermit Lynch
Vivian Gornick
Georgina Howell
Chris Ware
Barbara Ann Kipfer
Princeton Review
Rius
Charles Burns
David Ellis
Harry L. Rinker
U.S. Chess Federation
Jeffrey Steingarten
Joy Williams
Ann Cameron
Random House
Monica Kulling
David Levithan
Sue Stauffacher
Rachel Hartman
Jeff Stone
Margaret C. Jasper
Margaret C Jasper
Herbert Benson
Sabrina Solin Weill
Dionne Brand
Nancy Friday
Kurt Vonnegut
Helen Fremont
Colin Cowie
Lennart Nilsson
Allegra Goodman
Alan Bradley
Karen Marie Moning
Bryan Petroff
Michael Murray
Alana Chernila
Peter Clines
Michael Fertik
Ellie Laks
Lyranda Martin-Evans
Diana Nyad
Peter Spier
Maryln Schwartz
Jean-Pierre de Caussade
Anne Frank
Deborah Layton
Richard Koch
Joe Wheeler
Cardinal Joseph Bernardin
Troon McAllister
D'Arcy Jenish
Margaret Atwood
Adeline Yen Mah
Anthony C. Fischer-Cripps
Stefan Mangard
Erik Rifkin
Charles A. Shoniregun
Leonard Euler
Sigmund Freud
Jasper White
Cintra Wilson
Preston Lauterbach
Major Jackson
John Rousmaniere
Audre Lorde
Richard Dawkins
Melissa Holbrook Pierson
Robert F. Kennedy
Richard J. Evans
Richard Sennett
E. Mavis Hetherington
Will Eisner
Fuchsia Dunlop
Clive James
Dacher Keltner
Terri Apter
Mary S. Lovell
P. G. Wodehouse
Nell Irvin Painter
Brooke Gladstone
Susan Lukas
Louis Cozolino
Laurel Parnell
Yannick Guegan
Robert B. MacKay
Andrea Lunsford
Richard Bullock
Eric Foner
Joel Karty
Anthony Burgess
Clark Spencer Larsen
Anthony Champagne
Sir Thomas Malory
William Butler Yeats
Mimi Sheraton
Michel Foucault
Akira Kurosawa
Liang Heng
Richard Scarry
David Macaulay
Andrew Weil
Bill Peet
Joanna Foster
Radu Florescu
Stendahl
Janice Rider Ellis PhD  RN
Verne Varona
Alex Grecian
Michael Sears
Keri Smith
Dr. Laura Markham
Daniel J. Siegel MD
Emily-Anne Rigal
Stuart Woods
Clive Cussler
Peter Holwitz
William Golding
Thomas Gordon
Joel Haber
Gavin Pretor-Pinney
Anat Baniel
A.P. Jones
Jonathan Harvey
Meilute Ramoniene
Karl Popper
Simone Weil
Jean-Loup Chappelet
Patricia M. Crittenden
Pierre Bourdieu
Mark Shepherd
Howard Rosenthal
Beatrice Beebe
Scott Peterson
Bruce Peltier
R. Kerridge
Julie Murphy
Lundy Bancroft
Daniel Stashower
Joey W. Hill
Barbara Bentley
Sunny
Patricia Cornwell
Pete Blaber
Robin Cook
Sylvia Day
Eleanor Brown
Betty White
Laurie Watson
Samuel Shem
Tom Clancy
Shayla Black
Dr. Peter J. D'Adamo
Michael Brandman
T.C. LoTempio
Ace Atkins
John Sandford
Ellery Adams
Reed Farrel Coleman
Susan Wittig Albert
Margaret Coel
Monica Hughes
Kathy Burkett
Allan Zullo
Marvin Terban
George R. Elford
James Clavell
Robert B. Parker
Heather Graham
Joan Lowery Nixon
Louise Bates Ames
Patricia Briggs
Sharon Shinn
Frank Herbert
Greg Bear
Isaac Asimov
Robin B. Kanarek
Susan Standring PhD  DSc
Robert R. Crichton
P. R. Krishnaiah
Norene Gilletz
Chip Silverman
William Stone
Tiger Woods
Flora Rheta Schreiber
David Baldacci
Jon Entine
Leslie Sansone
Penthouse International
Richard Bode
Richard N. Firshein
Joyce L. Vedral
Erika Schwartz
Richard N. Ash
Suroosh Alvi
Richard B. Pelzer
Jim O'Connor
Stephanie Spinner
Michael A. Weiner
Beverly Engel
David Halberstam
Harlan Coben
Walter Mosley
Karen Rose
Karen White
Gene Mustain
Adamari Lopez
Taylor Anderson
Tara Sue Me
Jim Butcher
Juliet Marillier
Mary Balogh
Kate Collins
Lorelei James
Amanda Lee
Sean Danker
Deanna Raybourn
Aaron Copland
John Misha Petkevich
Geneen Roth
Le Ly Hayslip
Mira Kirshenbaum
Sarah Jio
Brock L. Eide M.D.  M.A.
Cracked.com
Maggie Anton
Pascal Boyer
Elaine Tyler May
Richard Florida
Eugene Rogan
Don Norman
M.D. James Le Fanu M.D.
L. H. Sperling
Adrian Bejan
Gloria Call Horsley
Betty B. Osman
David Paul Larousse
Stanley Middleman
Domingo Tavella
Margaret McCord
Roman L. Weil
Arthur P. Boresi
Charles W. Mulford
Michael D. Cole
Emil Pascarelli M.D.
James R. Schott
Michael H. Granof
Terri Jones
Eric Yaverbaum
Mardi Link
Lars Bjorn
U.S. Dept. of Agriculture
Ludwig van Beethoven
Muncie Hendler
John Willson
Bloomingdale Brothers
Gun Blomqvist
Arthur Loesser
Karl Fulves
Bill Tarr
Oscar Wilde
William Blake
Tom Tierney
Erhard Klepper
Claude McKay
Courtney Davis
Aldo Nadi
Daniel C. Beard
Niels Bohr
David J. Peery
Prof. Edward R. Scheinerman
Karl A Astrom
Jessica Mazurkiewicz
Donald E. Sands
Marty Noble
Clip Art
Dover
William T. Segui
Richard West
Adrian George
George Lowe
Sir Wally Herbert
Linda Nochlin
George R. Milner
Michael D. Coe
Ian Hodder
Olivier Filippi
Olivier Dupon
Nora Roberts
Mike Venezia
Tepilit Ole Saitoti
William Finnegan
Lucy R. Lippard
Oretta Zanini De Vita
Richard Mackay
John Renard
Rene Almeling
David R. Montgomery
Randol Contreras
Srimati Basu
Michæl Barrier
Rudolf Avenhaus
R. H. Helmholz
Matt Liebman
Peter Orebech
James Morriss Coxon
Ovid
Christine de Pizan
Martinus Veltman
Paul E. Lovejoy
Catharine Edwards
Robert G. Dean
Daniel W. Graham
Brian H. Bix
Friedrich Nietzsche
Max Born
Heidi Hurd
ELIZABETH (SENIOR COMMISSIONING EDITOR). WALTER
Antony Anghie
Felicity O'Dell
Thomas Hegghammer
Raymond Murphy
Eduardo Fradkin
Anthony Philpotts
Craig Johnson
Gretchen Carlson
Scott Mccormick
Janice Y. K. Lee
John Sideli
Eugene Linden
Linda Fairstein
Lisa Gardner
Rand McNally
Thomas Nelson
Margot F. Horwitz
Marie Morreale
Kimberly Burton Heuston
Anne Rooney
Peter Benoit
Marv Dunphy
Vesma Grinfelds
Lambert Maguire
Jerry W. Robinson
Cris Beam
Katie Coyle
Dr. P. L. Travers
Alice Schertle
Ursula  K. Le Guin
Abby Klein
Marc Tyler Nobleman
Lauren Tarshis
Craig Hatkoff
Christopher Hernandez
Jane Yolen
Owen Bernstein
Joe Funk
Paula Harrison
Tori Kosara
Suzanne Collins
Kate Howard
Maggie Stiefvater
Cynthia Lord
Alex Wiltshire
Liza Charlesworth
HOLT MCDOUGAL
Pati Jinich
Ursula K. Le Guin
Nick Jans
Terry Francona
Adrian Plass
Gustave Flaubert
Louis L'Amour
Daniel Quinn
Barton D. Schmitt
Jason M. Hough
Christine Carter Ph.D.
Andy Weir
Nina George
